,0
1000.0,0.01
1000.0,0.02
1000.0,0.03
998.774,0.04
963.504,0.05
940.528,0.06
827.062,0.07
721.226,0.08
572.106,0.09
469.75,0.1
399.368,0.11
336.418,0.12
235.912,0.13
254.812,0.14
217.378,0.15
184.464,0.16
203.556,0.17
158.756,0.18
144.612,0.19
133.892,0.2
115.906,0.21
101.2,0.22
97.808,0.23
104.976,0.24
85.904,0.25
75.66,0.26
65.468,0.27
67.798,0.28
61.52,0.29
57.492,0.3
57.658,0.31
50.618,0.32
44.556,0.33
49.48,0.34
43.73,0.35
38.018,0.36
39.11,0.37
34.28,0.38
35.314,0.39
30.332,0.4
31.302,0.41
29.064,0.42
33.776,0.43
26.15,0.44
25.202,0.45
27.57,0.46
26.192,0.47
22.348,0.48
20.268,0.49
21.452,0.5
24.016,0.51
19.458,0.52
18.062,0.53
18.34,0.54
14.808,0.55
13.5,0.56
15.262,0.57
16.644,0.58
16.926,0.59
15.406,0.6
15.73,0.61
12.16,0.62
14.692,0.63
13.438,0.64
11.652,0.65
12.254,0.66
11.352,0.67
12.378,0.68
12.378,0.69
10.626,0.7
9.932,0.71
8.91,0.72
8.82,0.73
8.816,0.74
9.064,0.75
9.176,0.76
9.504,0.77
7.594,0.78
7.636,0.79
7.5,0.8
7.612,0.81
7.202,0.82
6.814,0.83
7.53,0.84
7.294,0.85
6.0,0.86
5.716,0.87
6.968,0.88
5.632,0.89
5.566,0.9
5.496,0.91
5.5,0.92
5.5,0.93
4.006,0.94
4.0,0.95
4.0,0.96
4.0,0.97
4.0,0.98
3.038,0.99
